start_node;end_node
Lord Petyr Baelish, Littlefinger;Lord Jon Arryn
Lord Petyr Baelish, Littlefinger;Lord Eddard Stark
Mirri Maz Duur;Queen Daenerys I Targaryen
Ser Jorah Mormont;Queen Daenerys I Targaryen
Prince Theon Greyjoy;King Robb Stark
Lord Ramsay Bolton;Prince Theon Greyjoy
Lord Rickard Karstark;King Robb Stark
Grand Maester Pycelle;Tyrion Lannister, The Imp
Dirk;Lord Commander Jeor Mormont, The Old Bear
Ollo, Lophand;Lord Commander Jeor Mormont, The Old Bear
Garth, Of Greenaway;Lord Commander Jeor Mormont, The Old Bear
King Euron III Greyjoy, Crow's Eye;King Balon IX Greyjoy
Daario Naharis;Prendahl na Ghezn
Daario Naharis;Sallor, The Bald
Lord Walder Frey, The Late Lord Frey;King Robb Stark
Lord Roose Bolton;King Robb Stark
Lord Walder Frey, The Late Lord Frey;Lady Catelyn Tully/Stark
Lady Olenna Redwyne/Tyrell, Queen of Thorns;King Joffrey I Baratheon
Lord Petyr Baelish, Littlefinger;King Joffrey I Baratheon
Lord Petyr Baelish, Littlefinger;Ser Dontos Hollard
Lord Commander Jon Snow;Ygritte
Lord Commander Jon Snow;King Mance Rayder, King-Beyond-the-Wall
Vargo Hoat;Lord Tywin Lannister
Shae;Tyrion Lannister, The Imp
Lord Petyr Baelish, Littlefinger;Lady Lysa Tully/Arryn, Baelish
Dareon, Lover, the Black Singer;Lord Commander Jon Snow
Lord Wyman Manderly;Lord Walder Frey, The Late Lord Frey
Lord Wyman Manderly;Lord Roose Bolton
Tyrion Lannister, The Imp;Nurse
Varys, The Spider;Ser Kevan Lannister
Varys, The Spider;Queen Cersei Lannister
Ser Jaime Lannister, Kingslayer;King Aerys II Targaryen, The Mad King
Lord Tywin Lannister;King Aerys II Targaryen, The Mad King
Bowen Marsh, the Old Pomegranate;Lord Commander Jon Snow
Wick Wittlestick;Lord Commander Jon Snow
Lord Gawen Westerling;Lord Tywin Lannister
Ben Plumm, Brown Ben Plumm;Queen Daenerys I Targaryen
Victarion Greyjoy;King Euron III Greyjoy, Crow's Eye
