start_node;end_node;type
King Robert I Baratheon;Mya Stone;bastard
King Robert I Baratheon;Bella;bastard
King Robert I Baratheon;Gendry;bastard
King Robert I Baratheon;Edric Storm;bastard
King Robert I Baratheon;Barra;bastard
Queen Cersei Lannister;King Joffrey I Baratheon;bastard
Queen Cersei Lannister;Princess Myrcella Baratheon;bastard
Queen Cersei Lannister;King Tommen I Baratheon;bastard
Ser Jaime Lannister, Kingslayer;King Joffrey I Baratheon;bastard
Ser Jaime Lannister, Kingslayer;Princess Myrcella Baratheon;bastard
Ser Jaime Lannister, Kingslayer;King Tommen I Baratheon;bastard
Lord Tywin Lannister;Queen Cersei Lannister;legitimate
Lord Tywin Lannister;Ser Jaime Lannister, Kingslayer;legitimate
Lord Tywin Lannister;Tyrion Lannister, The Imp;legitimate
Lady Joanna Lannister;Queen Cersei Lannister;legitimate
Lady Joanna Lannister;Ser Jaime Lannister, Kingslayer;legitimate
Lady Joanna Lannister;Tyrion Lannister, The Imp;legitimate
Ser Kevan Lannister;Lord Lancel Lannister;legitimate
Ser Kevan Lannister;Willem Lannister;legitimate
Ser Kevan Lannister;Martyn Lannister;legitimate
Ser Kevan Lannister;Janei Lannister;legitimate
Dorna Swyft/Lannister;Lord Lancel Lannister;legitimate
Dorna Swyft/Lannister;Willem Lannister;legitimate
Dorna Swyft/Lannister;Martyn Lannister;legitimate
Dorna Swyft/Lannister;Janei Lannister;legitimate
Lady Genna Lannister/Frey ;Ser Cleos Frey;legitimate
Lady Genna Lannister/Frey ;Ser Lyonel Frey;legitimate
Lady Genna Lannister/Frey ;Tion Frey;legitimate
Lady Genna Lannister/Frey ;Walder Frey, Red Walder;legitimate
Lord Emmon Frey;Ser Cleos Frey;legitimate
Lord Emmon Frey;Ser Lyonel Frey;legitimate
Lord Emmon Frey;Tion Frey;legitimate
Lord Emmon Frey;Walder Frey, Red Walder;legitimate
Ser Cleos Frey;Tywin Frey, Son of Ser Cleos;legitimate
Ser Cleos Frey;Willem Frey;legitimate
Jeyne Darry/Frey, Wife of Ser Cleos;Tywin Frey, Son of Ser Cleos;legitimate
Jeyne Darry/Frey, Wife of Ser Cleos;Willem Frey;legitimate
Ser Tygett Lannister, Tyg;Tyrek Lannister;legitimate
Darlessa Marbrand/Lannister;Tyrek Lannister;legitimate
Gerion Lannister, Gery;Joy Hill;bastard
Briony;Joy Hill;bastard
Ser Stafford Lannister;Ser Daven Lannister;legitimate
Ser Stafford Lannister;Cerenna Lannister;legitimate
Ser Stafford Lannister;Myrielle Lannister;legitimate
Myranda Lefford/Lannister;Ser Daven Lannister;legitimate
Myranda Lefford/Lannister;Cerenna Lannister;legitimate
Myranda Lefford/Lannister;Myrielle Lannister;legitimate
Lord Jon Arryn;Lord Robert Arryn;legitimate
